Check	Observed	Expected	Status
SNP_locus_or_anchor_n	973	973	PASS
Recurrent_SNP_locus_n	52	52	PASS
Same_substitution_recurrent_n	21	21	PASS
Mixed_substitution_recurrent_n	31	31	PASS
Maximum_SNP_Patient_n	3	3	PASS
DEL_locus_n	32	32	PASS
INS_anchor_n	13	13	PASS
Only_SNP_DEL_INS	0	0	PASS
Three_patient_SNP_locus_n	1	1	PASS
SVG_created	figure_output/figure2/Figure2_cross_patient_variable_sites.svg	created	PASS
PDF_created	figure_output/figure2/Figure2_cross_patient_variable_sites.pdf	created	PASS
PNG_created	figure_output/figure2/Figure2_cross_patient_variable_sites.png	created	PASS
